year,sucid_in_hundredk
1987-01-01,294.03999999999996
1988-01-01,286.72
1989-01-01,316.32
1990-01-01,296.7
1991-01-01,297.90999999999997
1992-01-01,322.4900000000001
1993-01-01,352.11
1994-01-01,384.2900000000001
1995-01-01,396.66999999999996
1996-01-01,403.41999999999996
1997-01-01,395.67
1998-01-01,390.15
1999-01-01,376.06
2000-01-01,377.19
2001-01-01,348.14000000000004
2002-01-01,344.05
2003-01-01,337.06999999999994
2004-01-01,307.05000000000007
2005-01-01,297.18
2006-01-01,282.78999999999996
2007-01-01,281.12000000000006
2008-01-01,274.5
2009-01-01,279.26
2010-01-01,263.07000000000005
2011-01-01,263.99999999999994
2012-01-01,268.47
2014-01-01,250.49999999999997
2015-01-01,244.72000000000003
